"var","cor"
"Boron&Local_SeedDryMass&LeafShape",0.806603692794213
"Calcium&Potassium&Zinc",0.806592689335098
"Boron&LeafPhoto_mass&LeafShape",0.80645814218761
"Calcium&Potassium&LeafPhoto_mass",0.806112314463561
"Boron&LeafNitrogen&LeafPhoto_mass",0.80595625079683
"Boron&Copper&LeafNitrogen",0.805763878224668
"Calcium&Nitrogen&StomataConductance_mass",0.804946929300734
"Nitrogen&Potassium&Try_SeedDryMass",0.804900929815929
"Calcium&Sulfur&TRY_SLA_pet_ex",0.804890207186952
"Aluminum&Magnesium&Nitrogen",0.804518418844216
"Magnesium&Nitrogen&Phosphorus",0.80440444838269
"Calcium&Nitrogen&Try_SeedDryMass",0.804254917781799
"Boron&Calcium&LeafShape",0.8040891102755
"Calcium&LeafPhoto_mass&LeafShape",0.802933859920521
"Nitrogen&Potassium&LeafWater",0.802450054257078
"Calcium&Nitrogen&Zinc",0.802158760101271
"Boron&LeafPhoto_mass&LeafWater",0.801760847739022
"Boron&Calcium&LeafletNum",0.801646146731178
"Boron&TRY_SLA_pet_ex&LeafWater",0.801386049467646
"Boron&Nitrogen&LeafPhoto_area",0.800944914697597
"Boron&Phosphorus&LeafShape",0.800787530149812
"Calcium&FineRootDiameter&LeafShape",0.800645599696428
"Calcium&Magnesium&Sulfur",0.800560986783048
"Calcium&Carbon&LeafDelta15Nitrogen",0.799868899564762
"Boron&Magnesium&Try_SeedDryMass",0.799719716592691
"Calcium&Zinc&FineRootDiameter",0.799512552180422
"Magnesium&Nitrogen&LeafWater",0.799476203330217
"Boron&Copper&LDMC",0.797845316765559
"Boron&Copper&Sulfur",0.797318909796592
"Calcium&Nitrogen&FineRootTissueDensity",0.796448727657433
"Calcium&Phosphorus&LeafPhoto_mass",0.795950330299112
"Calcium&Magnesium&LeafNitrogen",0.795842010338329
"Calcium&Manganese&Nitrogen",0.795750649246837
"Boron&Nitrogen&LeafDelta13Carbon",0.795044113705599
"Calcium&Iron&Magnesium",0.794855026311538
"Manganese&Potassium&LeafShape",0.794806665273068
"Boron&Phosphorus&LeafNitrogen",0.794339987864951
"Boron&Magnesium&TRY_SLA_pet_ex",0.794332857013052
"Boron&LeafShape&Try_SeedDryMass",0.794123625678122
"Boron&Manganese&LeafWater",0.793458637735362
"Calcium&Local_SeedDryMass&TRY_SLA_pet_ex",0.792895366642002
"Nitrogen&FineRootTissueDensity&LDMC",0.792617473450007
"Calcium&Magnesium&Local_SeedDryMass",0.792515230379142
"Aluminum&Boron&LeafShape",0.792405218943461
"Calcium&Phosphorus&TRY_SLA_pet_ex",0.791638386228474
"Sulfur&FineRootTissueDensity&LeafShape",0.791598141072334
"Boron&Nitrogen&LeafDryMassSingle",0.791489124310111
"Calcium&LeafShape&LeafWater",0.791386679651592
"Boron&Potassium&Sulfur",0.790770287296294
"Boron&LeafPhoto_area&LeafShape",0.790021779241648
"Boron&Iron&LeafShape",0.789566822994379
"Boron&Nitrogen&Local_P.A.L",0.789521627654072
"Boron&Manganese&Sulfur",0.789218423128705
"Calcium&LDMC&LeafNitrogen",0.788738268130896
"Calcium&LeafNitrogen&LeafPhoto_mass",0.788660912449269
"Boron&Copper&Potassium",0.788082640108483
"Boron&Magnesium&Local_SeedDryMass",0.787939257538291
"Boron&Copper&FineRootDiameter",0.787683609595138
"Aluminum&Calcium&Magnesium",0.786082486554487
"Calcium&Magnesium&TRY_SLA_pet_ex",0.785450592821844
"Boron&LeafArea&LeafShape",0.785241238475606
"Calcium&Potassium&Sulfur",0.7852402642127
"Calcium&Potassium&TRY_SLA_pet_inc",0.784432214660862
"Boron&Sulfur&FineRootDiameter",0.784407640736379
"Calcium&Carbon&Copper",0.784016651549088
"Boron&Copper&Magnesium",0.783718428718337
"Calcium&TRY_SLA_pet_ex&LeafShape",0.783192260902096
"Calcium&Potassium&LeafDelta15Nitrogen",0.782942340913028
"Calcium&FineRootTissueDensity&LeafShape",0.782899302431505
"Calcium&TRY_SLA_pet_ex&Try_SeedDryMass",0.782387259613295
"Calcium&Carbon&Local_SLA_pet_ex",0.781690208107768
"Boron&Zinc&LeafShape",0.78161896029629
"Boron&Manganese&StomataConductance_area",0.781458183065652
"Calcium&Potassium&Local_P.A.L",0.781373784473518
"Calcium&Phosphorus&Potassium",0.781110620659159
